Date,Volume,Open,High,Low,Close
12/05/2023 20:00:00 +00:00,1939.68,26459.63,26500.00,26364.08,26398.99
12/05/2023 20:15:00 +00:00,561.21,26398.98,26454.58,26360.85,26403.99
12/05/2023 20:30:00 +00:00,349.87,26403.99,26431.62,26375.34,26388.67
12/05/2023 20:45:00 +00:00,459.23,26388.67,26471.55,26383.78,26438.42
12/05/2023 21:00:00 +00:00,1996.38,26438.42,26785.10,26438.41,26673.76
12/05/2023 21:15:00 +00:00,1068.64,26673.75,26809.98,26594.21,26799.99
12/05/2023 21:30:00 +00:00,776.52,26800.00,26810.58,26693.44,26717.83
12/05/2023 21:45:00 +00:00,515.39,26717.82,26805.59,26697.72,26750.09
12/05/2023 22:00:00 +00:00,751.25,26750.10,26894.90,26750.09,26860.00
12/05/2023 22:15:00 +00:00,594.80,26860.00,26871.80,26746.26,26753.42
12/05/2023 22:30:00 +00:00,354.59,26753.42,26778.08,26724.39,26730.01
12/05/2023 22:45:00 +00:00,397.04,26730.02,26735.37,26637.42,26684.77
12/05/2023 23:00:00 +00:00,260.82,26684.78,26717.80,26657.04,26688.16
12/05/2023 23:15:00 +00:00,226.61,26688.17,26751.20,26688.16,26751.20
12/05/2023 23:30:00 +00:00,290.75,26751.19,26784.02,26722.75,26776.06
12/05/2023 23:45:00 +00:00,265.76,26776.07,26806.50,26751.70,26795.01
13/05/2023 00:00:00 +00:00,373.85,26795.01,26802.87,26743.33,26755.25
13/05/2023 00:15:00 +00:00,207.34,26755.25,26761.73,26701.21,26710.68
13/05/2023 00:30:00 +00:00,284.08,26710.68,26744.14,26692.03,26705.24
13/05/2023 00:45:00 +00:00,407.36,26705.23,26850.00,26696.44,26838.99
13/05/2023 01:00:00 +00:00,709.44,26838.99,26890.60,26785.66,26852.80
13/05/2023 01:15:00 +00:00,1057.08,26852.79,26983.98,26852.75,26923.07
13/05/2023 01:30:00 +00:00,371.55,26923.07,26975.63,26872.34,26876.09
13/05/2023 01:45:00 +00:00,322.73,26876.10,26881.59,26820.80,26827.20
13/05/2023 02:00:00 +00:00,218.73,26827.20,26840.00,26800.00,26800.00
13/05/2023 02:15:00 +00:00,177.05,26800.00,26830.56,26800.00,26801.47
13/05/2023 02:30:00 +00:00,259.61,26801.47,26806.34,26777.21,26806.34
13/05/2023 02:45:00 +00:00,279.88,26806.33,26839.04,26764.17,26779.94
13/05/2023 03:00:00 +00:00,188.23,26779.95,26803.25,26772.58,26795.91
13/05/2023 03:15:00 +00:00,158.05,26795.91,26814.47,26780.01,26800.92
13/05/2023 03:30:00 +00:00,150.35,26800.92,26854.67,26795.57,26854.66
13/05/2023 03:45:00 +00:00,161.32,26854.67,26855.23,26806.19,26808.27
13/05/2023 04:00:00 +00:00,152.23,26808.27,26828.46,26808.27,26828.46
13/05/2023 04:15:00 +00:00,128.84,26828.45,26845.59,26816.85,26828.00
13/05/2023 04:30:00 +00:00,117.14,26828.00,26830.31,26797.34,26801.76
13/05/2023 04:45:00 +00:00,212.76,26801.76,26810.00,26752.83,26797.75
13/05/2023 05:00:00 +00:00,127.38,26797.75,26817.76,26787.76,26815.62
13/05/2023 05:15:00 +00:00,211.80,26815.62,26870.19,26813.92,26817.72
13/05/2023 05:30:00 +00:00,377.60,26817.72,26822.58,26738.88,26764.27
13/05/2023 05:45:00 +00:00,304.20,26764.28,26775.23,26737.59,26741.03
13/05/2023 06:00:00 +00:00,237.60,26741.02,26752.31,26725.00,26742.69
13/05/2023 06:15:00 +00:00,212.95,26742.69,26750.14,26712.87,26747.41
13/05/2023 06:30:00 +00:00,169.69,26747.41,26766.84,26718.88,26726.90
13/05/2023 06:45:00 +00:00,184.30,26726.89,26743.85,26719.69,26731.59
13/05/2023 07:00:00 +00:00,364.98,26731.58,26760.42,26695.41,26719.07
13/05/2023 07:15:00 +00:00,192.53,26719.06,26762.18,26719.06,26732.27
13/05/2023 07:30:00 +00:00,158.45,26732.28,26771.04,26732.27,26764.65
13/05/2023 07:45:00 +00:00,172.23,26764.65,26796.10,26764.65,26771.88
13/05/2023 08:00:00 +00:00,191.83,26771.87,26815.03,26764.66,26812.37
13/05/2023 08:15:00 +00:00,153.45,26812.36,26812.37,26746.53,26758.93
13/05/2023 08:30:00 +00:00,151.73,26758.94,26774.00,26753.27,26771.89
