Date,Volume,Open,High,Low,Close,ema_20,rsi_14,bb_bbm,bb_bbh,bb_bbl
12/05/2023 20:00:00 +00:00,1939.68,26459.63,26500.0,26364.08,26398.99,,,,,
12/05/2023 20:15:00 +00:00,561.21,26398.98,26454.58,26360.85,26403.99,,,,,
12/05/2023 20:30:00 +00:00,349.87,26403.99,26431.62,26375.34,26388.67,,,,,
12/05/2023 20:45:00 +00:00,459.23,26388.67,26471.55,26383.78,26438.42,,,,,
12/05/2023 21:00:00 +00:00,1996.38,26438.42,26785.1,26438.41,26673.76,,,,,
12/05/2023 21:15:00 +00:00,1068.64,26673.75,26809.98,26594.21,26799.99,,,,,
12/05/2023 21:30:00 +00:00,776.52,26800.0,26810.58,26693.44,26717.83,,,,,
12/05/2023 21:45:00 +00:00,515.39,26717.82,26805.59,26697.72,26750.09,,,,,
12/05/2023 22:00:00 +00:00,751.25,26750.1,26894.9,26750.09,26860.0,,,,,
12/05/2023 22:15:00 +00:00,594.8,26860.0,26871.8,26746.26,26753.42,,,,,
12/05/2023 22:30:00 +00:00,354.59,26753.42,26778.08,26724.39,26730.01,,,,,
12/05/2023 22:45:00 +00:00,397.04,26730.02,26735.37,26637.42,26684.77,,,,,
12/05/2023 23:00:00 +00:00,260.82,26684.78,26717.8,26657.04,26688.16,,,,,
12/05/2023 23:15:00 +00:00,226.61,26688.17,26751.2,26688.16,26751.2,,,,,
12/05/2023 23:30:00 +00:00,290.75,26751.19,26784.02,26722.75,26776.06,,67.81,,,
12/05/2023 23:45:00 +00:00,265.76,26776.07,26806.5,26751.7,26795.01,,68.95,,,
13/05/2023 00:00:00 +00:00,373.85,26795.01,26802.87,26743.33,26755.25,,63.84,,,
13/05/2023 00:15:00 +00:00,207.34,26755.25,26761.73,26701.21,26710.68,,58.6,,,
13/05/2023 00:30:00 +00:00,284.08,26710.68,26744.14,26692.03,26705.24,,57.97,,,
13/05/2023 00:45:00 +00:00,407.36,26705.23,26850.0,26696.44,26838.99,26681.03,67.23,26681.03,26970.7,26391.35
13/05/2023 01:00:00 +00:00,709.44,26838.99,26890.6,26785.66,26852.8,26697.39,68.02,26703.72,26971.76,26435.68
13/05/2023 01:15:00 +00:00,1057.08,26852.79,26983.98,26852.75,26923.07,26718.88,71.73,26729.67,26976.26,26483.08
13/05/2023 01:30:00 +00:00,371.55,26923.07,26975.63,26872.34,26876.09,26733.85,66.2,26754.04,26952.69,26555.39
13/05/2023 01:45:00 +00:00,322.73,26876.1,26881.59,26820.8,26827.2,26742.74,60.94,26773.48,26911.68,26635.28
13/05/2023 02:00:00 +00:00,218.73,26827.2,26840.0,26800.0,26800.0,26748.2,58.17,26779.79,26910.52,26649.06
13/05/2023 02:15:00 +00:00,177.05,26800.0,26830.56,26800.0,26801.47,26753.27,58.28,26779.87,26910.65,26649.09
13/05/2023 02:30:00 +00:00,259.61,26801.47,26806.34,26777.21,26806.34,26758.32,58.67,26784.29,26912.34,26656.25
13/05/2023 02:45:00 +00:00,279.88,26806.33,26839.04,26764.17,26779.94,26760.38,55.64,26785.78,26912.89,26658.68
13/05/2023 03:00:00 +00:00,188.23,26779.95,26803.25,26772.58,26795.91,26763.77,57.09,26782.58,26905.19,26659.97
13/05/2023 03:15:00 +00:00,158.05,26795.91,26814.47,26780.01,26800.92,26767.3,57.55,26784.96,26907.06,26662.85
13/05/2023 03:30:00 +00:00,150.35,26800.92,26854.67,26795.57,26854.66,26775.62,62.29,26791.19,26914.16,26668.22
13/05/2023 03:45:00 +00:00,161.32,26854.67,26855.23,26806.19,26808.27,26778.73,56.43,26797.36,26910.33,26684.39
13/05/2023 04:00:00 +00:00,152.23,26808.27,26828.46,26808.27,26828.46,26783.47,58.27,26804.38,26906.23,26702.53
13/05/2023 04:15:00 +00:00,128.84,26828.45,26845.59,26816.85,26828.0,26787.71,58.21,26808.22,26907.52,26708.92
13/05/2023 04:30:00 +00:00,117.14,26828.0,26830.31,26797.34,26801.76,26789.05,54.74,26809.5,26907.77,26711.24
13/05/2023 04:45:00 +00:00,212.76,26801.76,26810.0,26752.83,26797.75,26789.88,54.2,26809.64,26907.83,26711.45
13/05/2023 05:00:00 +00:00,127.38,26797.75,26817.76,26787.76,26815.62,26792.33,56.25,26812.66,26907.63,26717.68
13/05/2023 05:15:00 +00:00,211.8,26815.62,26870.19,26813.92,26817.72,26794.75,56.49,26818.01,26900.66,26735.36
13/05/2023 05:30:00 +00:00,377.6,26817.72,26822.58,26738.88,26764.27,26791.84,48.96,26820.96,26890.46,26751.46
13/05/2023 05:45:00 +00:00,304.2,26764.28,26775.23,26737.59,26741.03,26787.0,46.08,26816.06,26893.18,26738.95
13/05/2023 06:00:00 +00:00,237.6,26741.02,26752.31,26725.0,26742.69,26782.78,46.32,26810.56,26892.0,26729.12
13/05/2023 06:15:00 +00:00,212.95,26742.69,26750.14,26712.87,26747.41,26779.42,47.05,26801.78,26869.52,26734.03
13/05/2023 06:30:00 +00:00,169.69,26747.41,26766.84,26718.88,26726.9,26774.41,44.23,26794.32,26860.53,26728.1
13/05/2023 06:45:00 +00:00,184.3,26726.89,26743.85,26719.69,26731.59,26770.34,45.04,26789.54,26859.27,26719.8
13/05/2023 07:00:00 +00:00,364.98,26731.58,26760.42,26695.41,26719.07,26765.45,43.24,26785.49,26861.44,26709.54
13/05/2023 07:15:00 +00:00,192.53,26719.06,26762.18,26719.06,26732.27,26762.29,45.71,26782.03,26861.0,26703.06
13/05/2023 07:30:00 +00:00,158.45,26732.28,26771.04,26732.27,26764.65,26762.52,51.31,26779.94,26858.44,26701.45
13/05/2023 07:45:00 +00:00,172.23,26764.65,26796.1,26764.65,26771.88,26763.41,52.49,26779.54,26858.11,26700.97
13/05/2023 08:00:00 +00:00,191.83,26771.87,26815.03,26764.66,26812.37,26768.07,58.54,26780.36,26859.94,26700.79
